Country,Year,Cause_of_Death,Number_of_Deaths
Afghanistan,2009,Meningitis,2460
Afghanistan,2009,Neoplasms,16383
Afghanistan,2009,Malaria,239
Afghanistan,2009,Drowning,1852
Afghanistan,2009,Interpersonal_violence,3874
Afghanistan,2009,HIV,167
Afghanistan,2009,Drug_use_disorders,270
Afghanistan,2009,Road_injuries,7290
Afghanistan,2009,Maternal_disorders,5013
Afghanistan,2009,Alcohol_use_disorders,115
Afghanistan,2009,Diarrheal,7359
Afghanistan,2009,Nutritional_deficiencies,2040
Afghanistan,2009,Self.harm,1342
Afghanistan,2009,Diabetes_mellitus,3336
Afghanistan,2009,Poisonings,483
Afghanistan,2009,Cardiovascular,53964
Afghanistan,2009,Kidney_disease,4597
Afghanistan,2009,Respiratory_diseases,7045
Afghanistan,2009,Liver_diseases,3291
Afghanistan,2009,Digestive_diseases,6358
Afghanistan,2009,Alzheimer_disease,1449
Afghanistan,2009,Parkinson_disease,460
Afghanistan,2011,Meningitis,2327
Afghanistan,2011,Neoplasms,17094
Afghanistan,2011,Malaria,390
Afghanistan,2011,Drowning,1775
Afghanistan,2011,Interpersonal_violence,4170
Afghanistan,2011,HIV,184
Afghanistan,2011,Drug_use_disorders,292
Afghanistan,2011,Road_injuries,7432
Afghanistan,2011,Maternal_disorders,4857
Afghanistan,2011,Alcohol_use_disorders,120
Afghanistan,2011,Diarrheal,6412
Afghanistan,2011,Nutritional_deficiencies,1846
Afghanistan,2011,Self.harm,1391
Afghanistan,2011,Diabetes_mellitus,3550
Afghanistan,2011,Poisonings,483
Afghanistan,2011,Cardiovascular,54347
Afghanistan,2011,Kidney_disease,4785
Afghanistan,2011,Respiratory_diseases,6916
Afghanistan,2011,Liver_diseases,3318
Afghanistan,2011,Digestive_diseases,6370
Afghanistan,2011,Alzheimer_disease,1508
Afghanistan,2011,Parkinson_disease,473
Afghanistan,2012,Meningitis,2254
Afghanistan,2012,Neoplasms,17522
Afghanistan,2012,Malaria,94
Afghanistan,2012,Drowning,1716
Afghanistan,2012,Interpersonal_violence,4245
Afghanistan,2012,HIV,191
Afghanistan,2012,Drug_use_disorders,305
Afghanistan,2012,Road_injuries,7494
Afghanistan,2012,Maternal_disorders,4736
Afghanistan,2012,Alcohol_use_disorders,123
Afghanistan,2012,Diarrheal,6008
Afghanistan,2012,Nutritional_deficiencies,1705
Afghanistan,2012,Self.harm,1413
Afghanistan,2012,Diabetes_mellitus,3682
Afghanistan,2012,Poisonings,482
Afghanistan,2012,Cardiovascular,54868
Afghanistan,2012,Kidney_disease,4846
Afghanistan,2012,Respiratory_diseases,6878
Afghanistan,2012,Liver_diseases,3353
Afghanistan,2012,Digestive_diseases,6398
Afghanistan,2012,Alzheimer_disease,1544
Afghanistan,2012,Parkinson_disease,482
Afghanistan,2013,Meningitis,2281
Afghanistan,2013,Neoplasms,18015
Afghanistan,2013,Malaria,143
Afghanistan,2013,Drowning,1777
Afghanistan,2013,Interpersonal_violence,4379
Afghanistan,2013,HIV,200
Afghanistan,2013,Drug_use_disorders,316
Afghanistan,2013,Road_injuries,8054
Afghanistan,2013,Maternal_disorders,4623
Afghanistan,2013,Alcohol_use_disorders,126
Afghanistan,2013,Diarrheal,5986
Afghanistan,2013,Nutritional_deficiencies,1690
Afghanistan,2013,Self.harm,1433
Afghanistan,2013,Diabetes_mellitus,3827
Afghanistan,2013,Poisonings,494
Afghanistan,2013,Cardiovascular,55274
Afghanistan,2013,Kidney_disease,4945
Afghanistan,2013,Respiratory_diseases,6859
