Year,0-4,05-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
1950,42.681,1.844,1.662,1.8980000000000001,2.505,2.651,2.959,3.125,3.339,3.529,4.125,4.093,6.6370000000000005,8.362,11.408000000000001,10.109,6.3919999999999995,3.394,1.17,0.258,0.037000000000000005
1951,42.435,1.776,1.641,1.96,2.5759999999999996,2.707,2.989,3.149,3.386,3.666,4.165,4.11,6.329000000000001,7.968,10.404,9.604,6.087,2.848,0.935,0.16899999999999998,0.027
1952,41.552,1.738,1.581,1.988,2.498,2.668,2.8890000000000002,3.098,3.2640000000000002,3.7889999999999997,4.069,4.223,5.8740000000000006,7.747,9.344,9.03,5.9,2.396,0.758,0.126,0.019999999999999997
1953,40.553,1.719,1.508,1.997,2.3659999999999997,2.589,2.742,3.037,3.088,3.917,3.933,4.393000000000001,5.404,7.621,8.407,8.467,5.76,2.0789999999999997,0.633,0.101,0.013000000000000001
1954,39.502,1.706,1.445,2.015,2.323,2.565,2.66,3.0010000000000003,2.965,4.019,3.872,4.54,5.069,7.45,7.713000000000001,7.889,5.598,1.9009999999999998,0.542,0.076,0.009000000000000001
1955,38.375,1.717,1.397,1.999,2.279,2.512,2.58,2.936,2.868,4.038,3.883,4.615,4.9030000000000005,7.1899999999999995,7.247,7.3149999999999995,5.401,1.827,0.471,0.062,0.006
1956,37.216,1.721,1.367,1.945,2.256,2.442,2.518,2.856,2.819,3.983,3.98,4.622,4.890000000000001,6.839,6.976,6.736000000000001,5.188000000000001,1.8050000000000002,0.41100000000000003,0.054,0.004
1957,36.053,1.708,1.354,1.855,2.251,2.336,2.461,2.747,2.8,3.839,4.158,4.548,5.045999999999999,6.375,6.8870000000000005,6.154,4.986,1.808,0.366,0.046,0.004
1958,34.714,1.682,1.353,1.7229999999999999,2.218,2.1959999999999997,2.3810000000000002,2.604,2.7809999999999997,3.6390000000000002,4.35,4.437,5.273,5.889,6.846,5.619,4.761,1.816,0.334,0.041,0.003
1959,33.176,1.666,1.349,1.596,2.141,2.0620000000000003,2.276,2.457,2.732,3.449,4.454000000000001,4.375,5.447,5.555,6.764,5.247,4.5169999999999995,1.815,0.322,0.038,0.002
1960,31.589999999999996,1.635,1.3599999999999999,1.501,2.0620000000000003,1.974,2.184,2.338,2.674,3.305,4.483,4.404,5.54,5.398,6.58,5.023,4.256,1.7970000000000002,0.33,0.037,0.002
1961,29.982,1.591,1.383,1.422,1.959,1.902,2.081,2.2359999999999998,2.5999999999999996,3.198,4.427,4.516,5.535,5.401,6.301,4.925000000000001,3.984,1.774,0.34099999999999997,0.035,0.002
1962,28.375,1.544,1.392,1.361,1.83,1.8539999999999999,1.966,2.1479999999999997,2.5060000000000002,3.128,4.275,4.723,5.421,5.571,5.912,4.9399999999999995,3.698,1.7530000000000001,0.358,0.032,0.002
1963,26.834000000000003,1.491,1.393,1.322,1.699,1.809,1.855,2.0700000000000003,2.405,3.078,4.079,4.973,5.266,5.827999999999999,5.513,4.989,3.448,1.726,0.376,0.031,0.002
1964,25.326999999999998,1.438,1.405,1.29,1.593,1.735,1.763,1.967,2.3529999999999998,2.976,3.951,5.154999999999999,5.1739999999999995,6.004,5.227,4.955,3.278,1.677,0.39,0.031,0.002
