Region,Year,Total Deaths Rate (in Thousands),,,,,,,,,,,Total Population (in Thousands),,,,,,,,,,
,,0 - 9, 10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70-79,80-89,90-99,Total,0 - 9,10 to 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 - 99,Total
Africa,2000,  2 436,  3 161,  6 722,  3 330,  3 680,  3 015,  4 230,  1 447,   534,   63,  28 617,  551 108,  860 561, 1 056 308,  504 167,  291 223,  82 473,  68 118,  23 198,  4 154,   207, 3 441 517
Africa,2001,  2 398,  3 241,  6 906,  3 419,  3 778,  3 091,  4 337,  1 491,   556,   67,  29 283,  562 912,  879 270, 1 087 272,  519 035,  299 617,  84 710,  69 813,  23 974,  4 331,   221, 3 531 156
Africa,2002,  2 358,  3 310,  7 064,  3 498,  3 863,  3 158,  4 432,  1 530,   575,   71,  29 861,  575 202,  898 455, 1 119 273,  534 405,  308 323,  87 066,  71 551,  24 776,  4 510,   235, 3 623 796
Africa,2003,  2 309,  3 357,  7 196,  3 570,  3 952,  3 230,  4 534,  1 573,   596,   76,  30 394,  587 991,  918 075, 1 152 416,  550 399,  317 397,  89 529,  73 320,  25 596,  4 689,   250, 3 719 663
Africa,2004,  2 268,  3 390,  7 294,  3 623,  4 021,  3 287,  4 613,  1 607,   614,   80,  30 798,  601 453,  938 367, 1 186 780,  567 099,  326 888,  92 103,  75 129,  26 420,  4 870,   266, 3 819 375
Africa,2005,  2 222,  3 412,  7 378,  3 674,  4 105,  3 360,  4 718,  1 649,   635,   85,  31 239,  615 729,  959 525, 1 222 157,  584 359,  336 733,  94 797,  77 009,  27 243,  5 056,   282, 3 922 888
Africa,2006,  2 164,  3 401,  7 399,  3 700,  4 173,  3 424,  4 813,  1 688,   656,   89,  31 506,  630 721,  981 517, 1 258 314,  602 055,  346 866,  97 613,  78 975,  28 067,  5 245,   297, 4 029 670
Africa,2007,  2 110,  3 383,  7 406,  3 717,  4 233,  3 482,  4 900,  1 724,   676,   93,  31 724,  646 252, 1 004 398, 1 295 487,  620 338,  357 368,  100 576,  81 045,  28 901,  5 443,   312, 4 140 119
Africa,2008,  2 070,  3 370,  7 415,  3 733,  4 290,  3 539,  4 986,  1 759,   696,   96,  31 954,  662 244, 1 028 109, 1 334 149,  639 491,  368 403,  103 718,  83 197,  29 739,  5 648,   325, 4 255 023
Africa,2009,  2 099,  3 503,  7 685,  3 851,  4 423,  3 651,  5 130,  1 810,   723,   100,  32 974,  678 494, 1 052 414, 1 374 094,  659 400,  379 917,  107 019,  85 435,  30 561,  5 860,   337, 4 373 531
Africa,2010,  2 006,  3 327,  7 409,  3 763,  4 421,  3 671,  5 187,  1 835,   741,   103,  32 463,  694 873, 1 077 461, 1 415 159,  679 930,  391 848,  110 487,  87 856,  31 389,  6 091,   351, 4 495 445
Africa,2011,  2 062,  3 338,  7 478,  3 815,  4 532,  3 777,  5 345,  1 892,   774,   109,  33 124,  711 050, 1 102 908, 1 457 111,  700 917,  404 113,  114 121,  90 479,  32 242,  6 342,   368, 4 619 651
Africa,2012,  1 946,  3 291,  7 410,  3 801,  4 567,  3 820,  5 424,  1 923,   795,   112,  33 088,  727 260, 1 128 965, 1 500 372,  722 463,  416 781,  117 971,  93 332,  33 134,  6 607,   386, 4 747 271
Africa,2013,  1 907,  3 299,  7 462,  3 843,  4 662,  3 909,  5 562,  1 973,   827,   119,  33 563,  743 704, 1 155 898, 1 545 767,  744 963,  430 049,  122 066,  96 411,  34 069,  6 878,   406, 4 880 212
Africa,2014,  1 931,  3 360,  7 607,  3 924,  4 778,  4 012,  5 712,  2 023,   854,   124,  34 325,  760 113, 1 183 365, 1 591 722,  767 702,  443 473,  126 238,  99 606,  35 013,  7 132,   424, 5 014 789
Africa,2015,  1 926,  3 369,  7 663,  3 972,  4 866,  4 092,  5 834,  2 063,   869,   125,  34 778,  776 222, 1 211 153, 1 638 312,  790 625,  457 023,  130 488,  102 961,  36 004,  7 381,   444, 5 150 612
Africa,2016,  1 911,  3 389,  7 736,  4 025,  4 965,  4 182,  5 972,  2 112,   891,   130,  35 313,  791 527, 1 238 794, 1 685 836,  813 799,  470 743,  134 862,  106 500,  37 066,  7 636,   467, 5 287 232
Africa,2017,  1 912,  3 416,  7 815,  4 079,  5 068,  4 275,  6 118,  2 163,   913,   135,  35 895,  805 958, 1 266 139, 1 735 159,  837 608,  484 905,  139 497,  110 311,  38 214,  7 901,   492, 5 426 183
Africa,2018,  1 817,  3 380,  7 780,  4 088,  5 138,  4 346,  6 242,  2 208,   935,   142,  36 075,  819 662, 1 292 986, 1 787 073,  862 426,  499 767,  144 499,  114 504,  39 467,  8 193,   524, 5 569 102
Africa,2019,  1 799,  3 445,  7 920,  4 167,  5 267,  4 464,  6 428,  2 272,   963,   151,  36 876,  832 645, 1 319 139, 1 839 936,  887 437,  514 829,  149 701,  118 941,  40 790,  8 476,   555, 5 712 448
Africa,2020,  1 748,  3 401,  8 113,  4 411,  5 852,  5 013,  7 267,  2 555,  1 081,   175,  39 618,  845 236, 1 344 869, 1 893 809,  913 006,  530 157,  154 834,  123 208,  41 995,  8 653,   571, 5 856 338
Africa,2021,  1 731,  3 671,  8 862,  4 831,  6 310,  5 361,  7 710,  2 708,  1 143,   183,  42 511,  857 811, 1 370 268, 1 948 360,  939 022,  545 669,  159 836,  127 235,  43 048,  8 724,   574, 6 000 546
Africa,2022,  1 772,  3 671,  8 502,  4 512,  5 747,  4 878,  7 021,  2 462,  1 025,   160,  39 749,  870 182, 1 395 180, 2 004 035,  965 172,  561 284,  165 081,  131 649,  44 394,  8 880,   584, 6 146 441
Africa,2023,  1 647,  3 540,  8 256,  4 417,  5 729,  4 878,  7 076,  2 497,  1 044,   168,  39 253,  882 437, 1 419 611, 2 062 229,  992 117,  577 380,  170 706,  136 594,  46 116,  9 151,   605, 6 296 947
Asia,2000,  2 138,  5 638,  16 110,  10 382,  17 988,  16 234,  25 669,  9 525,  4 321,   752,  108 758, 1 672 224, 2 874 510, 6 334 459, 3 025 607, 1 787 074,  596 738,  540 617,  204 842,  43 983,  2 915, 17 082 970
Asia,2001,  2 042,  5 651,  16 198,  10 446,  18 310,  16 547,  26 238,  9 791,  4 475,   791,  110 490, 1 669 249, 2 879 001, 6 469 660, 3 082 214, 1 824 118,  617 072,  557 098,  213 191,  46 188,  3 097, 17 360 888
Asia,2002,  1 940,  5 633,  16 256,  10 499,  18 672,  16 901,  26 863,  10 086,  4 646,   833,  112 330, 1 663 491, 2 880 731, 6 604 297, 3 134 175, 1 859 477,  638 955,  573 388,  221 727,  48 469,  3 293, 17 628 002
Asia,2003,  1 829,  5 639,  16 371,  10 559,  19 092,  17 299,  27 551,  10 425,  4 847,   888,  114 500, 1 656 545, 2 879 683, 6 739 831, 3 184 116, 1 893 997,  661 996,  589 292,  230 820,  50 840,  3 519, 17 890 639
