Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Population_mln,Life_expectancy
Turkiye,Middle East,2015,11.1,13,105.824,78.53,76.5
Spain,European Union,2015,2.7,3.3,57.9025,46.44,82.8
India,Asia,2016,51.5,67.9,201.0765,1183.21,65.4
Guyana,South America,2015,32.8,40.5,222.1965,0.75,67
Israel,Middle East,2021,3.4,4.3,57.951,7.91,81.7
Costa Rica,Central America and Caribbean,2015,9.8,11.2,95.22,4.35,78.2
Russian Federation,Rest of Europe,2015,6.6,8.2,223,144.1,71.2
Hungary,European Union,2018,8.7,10.1,192.969,10.21,71.2
Jordan,Middle East,2019,22,26.1,129.764,5.22,71.9
Moldova,Rest of Europe,2017,15.3,17.8,217.857,2.87,68.7
Brazil,South America,2021,15.4,17.2,150.2245,199.29,74.2
Malta,European Union,2016,6,6.8,58.0185,0.41,79.8
"Bahamas, The",Central America and Caribbean,2020,13,15.2,165.538,0.36,72.3
Ukraine,Rest of Europe,2020,14.3,16.6,261.6095,48.2,68.3
Switzerland,Rest of Europe,2015,4.2,4.9,63.2435,7.48,81.5
Norway,Rest of Europe,2019,3.8,4.7,80.4955,4.51,78.8
Finland,European Union,2022,2.2,2.7,76.567,5.44,81
Comoros,Africa,2016,66.8,91.9,255.8815,0.64,60.7
Japan,Asia,2023,2.8,3.7,68.768,127.77,81.9
Gabon,Africa,2021,39.1,57.1,256.88,1.75,62.9
Ghana,Africa,2020,45.2,65.9,257.0865,25.39,61.4
Philippines,Asia,2019,28.2,36.9,214.2685,79.67,68.8
"Congo, Rep.",Africa,2021,64.6,100.2,406.702,3.41,53.8
Madagascar,Africa,2020,45.8,67,237.6755,21.74,63.8
Estonia,European Union,2022,6.2,7.8,194.0975,1.36,71.9
Belize,Central America and Caribbean,2022,14.6,16.9,179.144,0.35,73.5
Kazakhstan,Asia,2015,25.6,29,270.9885,15.31,66.2
Cameroon,Africa,2015,57,88,340.1265,23.3,57.6
Jordan,Middle East,2015,19.2,22.5,121.011,5.99,72.8
Zimbabwe,Africa,2018,54,91.3,551.9115,12.53,48.4
Bhutan,Asia,2023,44.7,57.5,253.2655,0.65,65.3
Switzerland,Rest of Europe,2019,3.9,4.6,56.9105,7.82,82.2
South Africa,Africa,2015,48.7,79.2,515.718,48.49,53.8
Jordan,Middle East,2021,16.2,19,113.2855,8.09,73.7
Eritrea,Africa,2021,36.8,51.2,274.029,3.28,63.2
Germany,European Union,2019,3.5,4.2,77.604,81.78,80
Saudi Arabia,Middle East,2023,8.3,9.6,89.12,30.92,74.5
Kiribati,Oceania,2022,49.4,64.6,214.7745,0.09,64.2
Seychelles,Africa,2020,12.2,14.2,154.4505,0.09,72.7
Madagascar,Africa,2021,44.6,64.8,232.446,22.35,64.3
Singapore,Asia,2023,2.2,2.7,52.393,5.47,82.5
Togo,Africa,2017,61.4,94.4,318.7475,6.08,56.2
Denmark,European Union,2018,3.6,4.2,85.8135,5.52,78.6
"Gambia, The",Africa,2015,39.7,59.8,261.7065,2.09,60.9
Costa Rica,Central America and Caribbean,2023,7.9,9.3,87.237,4.8,79.4
Belize,Central America and Caribbean,2019,16.2,18.9,181.584,0.32,72.1
Sweden,European Union,2019,2.5,3.1,57.492,9.38,81.5
Austria,European Union,2023,3.1,3.8,65.815,8.55,81.5
Kyrgyz Republic,Asia,2021,23.2,26.1,183.8625,5.61,70
Grenada,Central America and Caribbean,2022,13.8,15.8,143.8315,0.11,72.6
Brunei Darussalam,Asia,2019,7.9,9.7,91.9455,0.39,74.7
Greece,European Union,2018,3.4,3.9,75.948,11.11,80.2
Norway,Rest of Europe,2019,2.7,3.3,64.862,4.89,81
Uruguay,South America,2015,11.7,13.5,116.762,3.33,76
Croatia,European Union,2015,5.5,6.4,109.298,4.31,75.8
Romania,European Union,2017,11.9,14,151.8615,20.54,72.6
Central African Republic,Africa,2020,96.7,140.5,463.613,4.42,48
Algeria,Africa,2015,21.6,25.2,95.8155,39.73,76.1
"Yemen, Rep.",Middle East,2020,45.3,58.5,231.9445,23.81,65.8
Armenia,Rest of Europe,2018,17.2,19.2,139.3615,2.89,73.1
Zimbabwe,Africa,2022,51.2,92.4,686.639,12.02,43.1
St. Vincent and the Grenadines,Central America and Caribbean,2021,19,21.7,179.187,0.11,71.1
Kenya,Africa,2016,43.7,68,345.5865,38.71,57.5
"Micronesia, Fed. Sts.",Oceania,2021,29,35.2,180.9535,0.11,65.1
Antigua and Barbuda,Central America and Caribbean,2022,11,13.5,148.5575,0.08,74.8
Nepal,Asia,2016,41.9,53.4,191.5375,26.38,66.3
Lithuania,European Union,2023,7.3,9,222.069,3.32,71.3
Vanuatu,Oceania,2021,23.5,28.1,168.7145,0.2,68
Afghanistan,Asia,2018,90.5,129.2,310.8305,20.78,55.8
Kuwait,Middle East,2020,8.5,10,64.969,3.17,74.6
Kenya,Africa,2020,38.5,55.5,260.375,43.18,61.9
Germany,European Union,2022,4,4.9,86.3185,82.52,78.7
Argentina,South America,2023,10.8,12.1,118.5375,42.67,75.9
Panama,Central America and Caribbean,2017,18,21.1,124.016,3.52,76.4
Oman,Middle East,2015,9.6,11.2,89.1875,4.27,76.9
France,European Union,2023,3.1,4.1,74.8905,66.31,82.7
Bosnia and Herzegovina,Rest of Europe,2020,6,6.9,101.667,3.66,76.2
Mauritania,Africa,2020,68.6,111.5,227.5,2.78,60.9
Somalia,Africa,2017,101.1,166.5,331.401,11.4,53.3
Azerbaijan,Asia,2020,30.5,34.9,134.006,9.17,71.2
Maldives,Asia,2016,15.1,17.6,79.101,0.34,74.6
Armenia,Rest of Europe,2021,14.7,16.4,129.837,2.88,73.8
Ghana,Africa,2018,48.8,72.3,261.2595,24.17,60.6
Somalia,Africa,2015,104,172,337.337,10.76,52.7
Switzerland,Rest of Europe,2023,3.8,4.3,49.998,8.19,83.2
Argentina,South America,2023,14.8,16.5,131.475,38.89,74.5
Guinea-Bissau,Africa,2019,72.6,114.5,287.62,1.52,54.6
Solomon Islands,Oceania,2018,25.6,30.7,228.169,0.41,67.4
"Congo, Dem. Rep.",Africa,2018,106.5,159.3,344.252,47.11,50
Namibia,Africa,2019,36.8,49.1,412.4735,2.12,56.7
Russian Federation,Rest of Europe,2022,12,14.9,317.967,144.07,65.5
Japan,Asia,2021,2.9,4,70.306,127.72,81.8
Mauritania,Africa,2022,67.8,109.7,223.7,2.94,61.2
Eswatini,Africa,2016,59.3,103.8,579.801,1.04,43.3
Nigeria,Africa,2020,83,133.1,372.383,162.81,51.3
United Arab Emirates,Middle East,2020,9.1,10.6,92.432,3.48,74.8
Burundi,Africa,2023,78.4,124.9,346.6695,7.36,53.4
Tajikistan,Asia,2015,44.1,51.9,155.062,6.92,66.8
Honduras,Central America and Caribbean,2018,30.3,37,171.706,6.57,70.7
Colombia,South America,2017,16.7,19.5,151.1495,44.25,75
"Gambia, The",Africa,2018,47.1,76.8,277.4475,1.74,59.3
Madagascar,Africa,2015,41.3,59,218.4575,24.23,65.5
Iceland,Rest of Europe,2021,2.8,3.5,58.787,0.29,81
Morocco,Africa,2020,40.6,48,140.5375,29.45,69.8
