Country,Year,Meningitis,Neoplasms,Malaria,Drowning,Interpersonal_violence,HIV,Drug_use_disorders,Road_injuries,Maternal_disorders,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Alcohol_use_disorders,Diarrheal,Nutritional_deficiencies,Self-harm,Diabetes_mellitus,Poisonings,Cardiovascular,Kidney_disease,Respiratory_diseases,Liver_diseases,Digestive_diseases,Alzheimer_disease,Parkinson_disease,Total_death_per_year
Afghanistan,2009,2460,16383,239,1852,3874,167,270,7290,5013,24340,115,7359,2040,1342,3336,483,53964,4597,7045,3291,6358,1449,460,154792
Afghanistan,2011,2327,17094,390,1775,4170,184,292,7432,4857,22883,120,6412,1846,1391,3550,483,54347,4785,6916,3318,6370,1508,473,154448
Afghanistan,2012,2254,17522,94,1716,4245,191,305,7494,4736,22162,123,6008,1705,1413,3682,482,54868,4846,6878,3353,6398,1544,482,156022
Afghanistan,2013,2281,18015,143,1777,4379,200,316,8054,4623,22260,126,5986,1690,1433,3827,494,55274,4945,6859,3413,6476,1581,491,158352
Afghanistan,2014,1935,18462,228,1757,4420,213,326,8087,4470,21750,128,5751,1617,1444,3986,496,55932,5055,6851,3454,6522,1620,502,160420
Afghanistan,2015,1821,18876,284,1730,5039,230,339,7730,4320,21016,131,5509,1505,1467,4143,496,56875,5153,6835,3492,6555,1652,511,161925
Afghanistan,2016,1795,19459,388,1742,5033,251,354,7866,4212,20601,135,5376,1452,1505,4349,504,57970,5296,6894,3578,6673,1690,524,163789
Afghanistan,2010,2410,16718,377,1837,4130,176,281,7379,4940,23701,118,6889,1974,1367,3413,484,53934,4693,6969,3304,6367,1476,465,154559
Afghanistan,2017,1665,20111,399,1723,5191,272,372,8013,4123,19868,139,5328,1367,1548,4497,512,59553,5419,6982,3693,6841,1728,537,165973
Afghanistan,2018,1576,20673,466,1669,5500,291,390,8095,4102,19014,143,4597,1279,1582,4664,514,60893,5531,7036,3732,6861,1757,551,160916
Afghanistan,2019,1563,21247,530,1687,5015,318,406,8254,4038,18697,147,4320,1244,1613,4817,525,61995,5637,7082,3797,6929,1775,560,162196
Armenia,2009,9,5635,0,58,153,12,10,260,12,572,63,23,5,286,1355,19,13478,309,1201,1071,1617,577,153,26879
Armenia,2010,8,5672,0,57,154,10,10,257,7,570,62,20,5,296,1345,20,13493,334,1196,1101,1668,614,159,27058
Armenia,2011,7,5697,0,54,151,10,10,263,8,567,61,19,4,306,1321,20,13432,353,1207,1129,1714,647,162,27142
Armenia,2012,7,5672,0,53,193,20,9,267,7,559,62,17,4,308,1282,20,13268,385,1217,1116,1718,681,164,27029
Armenia,2013,6,5571,0,49,174,16,9,259,9,558,63,16,3,299,1226,19,12927,395,1211,1097,1704,713,162,26486
Armenia,2014,6,5612,0,47,171,28,9,260,9,566,64,15,3,297,1195,19,12911,413,1248,1111,1728,741,164,26617
Armenia,2015,6,5768,0,47,162,31,9,274,9,595,65,14,4,302,1209,19,13198,440,1307,1146,1780,780,169,27334
Armenia,2016,5,5714,0,45,159,27,9,262,12,613,66,14,4,297,1164,19,13194,466,1298,1158,1784,810,169,27295
Armenia,2017,5,5756,0,45,154,22,9,251,9,582,67,14,4,289,1196,18,13391,455,1319,1138,1758,839,171,27492
Armenia,2018,5,5789,0,44,154,20,10,245,8,565,68,14,4,289,1214,18,13489,453,1326,1127,1740,861,170,27613
Armenia,2019,5,5834,0,44,153,19,10,240,8,546,69,13,4,287,1235,18,13507,449,1323,1114,1720,873,169,27640
Azerbaijan,2009,113,9484,1,341,325,40,32,725,46,3651,192,172,38,406,1671,83,37685,1222,1716,2811,3587,765,280,65387
Azerbaijan,2010,111,9740,1,345,340,42,33,740,47,3575,197,159,37,408,1710,84,38294,1248,1753,2815,3593,785,293,66350
Azerbaijan,2011,99,10022,1,336,343,36,34,750,46,3471,202,153,35,406,1745,85,39148,1272,1804,2838,3624,819,308,67577
Azerbaijan,2012,93,10263,0,327,353,30,34,745,44,3350,205,146,34,398,1790,85,39799,1291,1847,2850,3639,832,319,68474
