Entity,Year,Meningitis,Neoplasms,Malaria,Drowning ,Interpersonal_violence,HIV,Drug_use_disorders ,Road_injuries,Maternal_disorders,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Alcohol_use_disorders ,Diarrheal ,Nutritional_deficiencies,Self-harm,Diabetes_mellitus,Poisonings,Cardiovascular ,Kidney_disease ,Respiratory_diseases,Liver_diseases ,Digestive_diseases ,Alzheimer_disease ,Parkinson_disease ,Total_death_per_year
Afghanistan,2019,1563,21247,530,1687,5015,318,406,8254,4038,18697,147,4320,1244,1613,4817,525,61995,5637,7082,3797,6929,1775,560,162196
Africa,2019,146327,660855,596585,27475,84118,645652,3958,236531,98899,720724,7835,610399,108409,79224,206002,20603,1608114,169235,225993,265361,416690,85007,21313,7045309
African Region,2019,139590,533567,590252,23768,79735,635623,2703,182243,91905,662060,7261,576592,98704,69367,170540,18792,1085321,127158,178908,187968,324066,66124,15930,5868177
African Union,2019,146327,660855,596585,27475,84118,645652,3958,236531,98899,720724,7835,610399,108409,79224,206002,20603,1608114,169235,225993,265361,416690,85007,21313,7045309
Albania,2019,13,4705,0,36,57,2,29,243,3,457,18,7,5,152,175,11,12904,329,815,333,527,917,248,21986
Algeria,2019,292,23816,0,526,459,264,526,11051,638,5786,111,527,114,1515,5328,351,97931,8201,7528,4045,6398,5209,1283,181899
United States of America,2019,7319,1622270,1342,20297,173466,51057,71205,158677,9656,322980,37583,42213,33718,94784,302740,3713,2130471,321560,449174,215937,402205,306271,65407,6844045
American Samoa,2019,1,68,0,4,3,0,0,5,1,12,1,3,2,4,44,0,125,26,23,7,14,7,3,353
Andean Latin America,2019,395,65057,20,1730,3664,4340,289,11579,1305,30185,1059,2394,2929,3437,13509,289,66585,19382,14209,14052,24390,11175,2772,294746
Andorra,2019,0,230,0,0,0,3,0,8,0,20,1,1,0,8,9,0,169,16,39,12,27,36,7,586
Angola,2019,2520,12791,10784,793,974,16802,80,9253,2069,12783,211,12936,3015,1928,4033,433,25724,2464,3934,5666,8971,1143,267,139574
Antarctica,2019,1,138,0,4,5,7,0,7,0,30,7,2,3,3,57,0,200,36,11,13,24,16,5,569
Argentina,2019,453,85209,0,566,2881,1777,86,6318,377,36264,821,757,1330,5029,10762,272,101725,15665,19348,8525,17792,12045,3043,331045
Armenia,2019,5,5834,0,44,153,19,10,240,8,546,69,13,4,287,1235,18,13507,449,1323,1114,1720,873,169,27640
Australasia,2019,59,64284,0,245,380,79,1193,1947,19,5164,648,309,179,3410,4909,51,63564,6122,13599,2512,7720,13307,2806,192506
Australia,2019,46,53700,0,196,322,71,1128,1595,13,4269,590,228,164,2898,4239,43,51615,5207,11203,2215,6632,11240,2403,160017
Austria,2019,31,22258,0,56,70,35,140,491,3,1205,517,125,12,1418,2340,31,32998,3367,3406,1809,3237,4802,1040,79391
Azerbaijan,2019,62,11913,0,312,372,37,39,803,32,2454,225,114,29,379,2150,85,42138,1386,2006,3118,3945,941,338,72878
Bahamas,2019,3,580,0,24,111,116,2,55,4,94,18,4,6,12,146,1,869,112,51,62,119,61,17,2467
Bahrain,2019,3,817,0,12,27,7,3,177,5,83,6,11,4,77,708,2,1271,176,161,138,212,74,21,3995
Bangladesh,2019,2323,106147,110,7581,3954,359,299,8612,6598,37302,322,32927,4402,7365,33095,561,324764,12775,70893,26165,41679,15614,4489,748336
Barbados,2019,3,825,0,10,33,25,1,31,2,164,8,5,8,15,312,0,905,123,63,47,113,100,28,2821
Belarus,2019,49,19668,0,645,776,294,235,1049,13,1155,2973,13,45,2272,393,349,75339,500,2438,2235,4188,3685,632,118946
Belgium,2019,45,33892,0,77,163,56,224,888,5,6340,525,898,371,2212,1731,37,33627,2965,7400,2105,5662,6615,1331,107169
Belize,2019,2,299,0,25,114,80,1,80,5,112,11,11,13,28,154,1,464,112,74,65,103,48,12,1814
Benin,2019,1975,5247,13264,384,898,2033,15,1937,1320,9053,68,5268,820,742,1537,221,11418,1581,1888,1943,3465,695,190,65962
Bermuda,2019,0,179,0,2,2,6,1,7,0,18,1,0,0,3,24,0,209,19,18,8,19,32,8,556
Bhutan,2019,22,474,0,21,7,31,2,64,26,161,7,119,7,41,155,2,1208,147,571,176,285,81,27,3634
Bolivia,2019,134,14035,0,464,615,732,56,2037,557,6570,368,688,895,743,3797,70,15905,4425,3578,3319,5833,1393,569,66783
Bosnia and Herz.,2019,9,9482,0,48,84,2,11,195,1,414,90,8,5,366,2290,13,18828,658,1204,593,1235,1080,328,36944
Botswana,2019,123,2076,14,95,469,5612,7,574,51,1528,29,524,185,403,1061,41,3519,444,649,418,785,153,41,18801
Brazil,2019,2008,266014,118,6110,65907,15561,1127,44529,1935,88641,9705,7514,8221,13503,65366,190,397993,42336,76551,38029,78484,54594,9564,1294000
Brunei,2019,2,528,0,16,6,5,2,61,3,82,2,3,1,25,171,1,508,78,93,31,61,24,13,1716
Bulgaria,2019,39,22009,0,160,182,46,69,678,8,1990,101,25,11,1087,2377,46,79119,1950,3036,2707,4507,3146,1000,124293
Burkina Faso,2019,5258,10125,26305,899,2139,2959,58,5278,2076,24392,156,14957,4048,1545,2975,627,22151,2822,2714,2993,6369,1245,344,142435
Burundi,2019,1239,5275,7280,325,126,2048,16,1907,1301,6462,86,9336,2048,800,1463,252,10804,1040,2399,1906,3543,479,116,60251
Cambodia,2019,129,14553,57,1048,495,1416,37,2911,477,12066,133,1718,532,785,3631,72,30313,2193,4959,8388,12188,1794,442,100337
Cameroon,2019,2791,14258,22652,609,916,23172,79,6401,2917,17015,187,17855,965,2260,5187,406,26491,4783,4166,4131,7137,1505,502,166385
Canada,2019,89,93072,0,288,552,254,2526,2479,25,9125,1361,1742,354,4699,7420,132,82644,7501,18385,5442,12872,17052,4123,272137
Cape Verde,2019,18,717,9,34,81,55,1,47,6,294,5,47,12,82,134,3,1073,105,107,114,175,99,25,3243
Caribbean,2019,1424,69586,492,2369,8469,9374,220,6635,2005,19182,1472,5397,1863,4569,19506,264,125368,12664,13766,9546,17163,10994,2466,344794
Central African Rep.,2019,902,2657,4248,297,374,5547,14,3045,845,5677,63,8431,1247,620,1021,155,7210,653,1579,1105,2202,160,52,48104
Chad,2019,4623,6250,7194,619,1234,4695,14,2576,3239,19447,88,30372,2454,996,1720,358,13837,1817,2761,2886,5147,715,209,113251
Chile,2019,113,31648,0,356,793,492,71,2299,49,4703,531,449,576,2006,3822,38,30115,5038,6389,5157,8426,4804,1334,109209
China,2019,6465,2716551,0,56524,11970,31746,11445,250025,1537,185264,19459,5440,16863,121217,172892,27084,4584273,196726,1085273,152262,277142,320715,76990,10327863
Colombia,2019,377,49460,55,947,17061,2450,127,7408,475,7899,124,903,1332,2731,7048,63,72629,9496,17772,3984,11497,13672,1959,229469
Comoros,2019,70,544,174,14,67,2,2,151,26,450,6,278,66,41,163,12,1143,117,167,161,299,85,18,4056
Congo,2019,284,3363,2102,89,245,4275,23,1521,392,2033,55,1879,275,423,1169,69,7096,701,997,1071,1722,309,82,30175
Cook Islands,2019,0,32,0,1,0,2,0,4,0,10,0,1,0,2,27,0,58,7,7,2,5,4,2,164
Costa Rica,2019,35,6049,0,132,503,146,26,841,20,676,84,129,23,389,576,28,6664,1372,1425,960,1776,1295,219,23368
Côte d'Ivoire,2019,2259,11587,29398,581,2307,13638,38,3353,2270,16980,191,7489,756,1960,3513,367,22376,3434,3642,3948,6623,1184,383,138277
Croatia,2019,17,14024,0,77,47,8,70,372,2,580,268,29,3,694,1134,18,24721,923,1878,1151,2234,2166,492,50908
Cuba,2019,94,27785,0,249,642,337,31,1082,53,7125,570,265,65,1736,2020,12,39755,2727,4586,2036,4365,4503,917,100955
Cyprus,2019,3,2291,0,26,21,5,17,134,0,169,9,22,7,67,490,3,3112,335,541,140,364,324,94,8174
Czechia,2019,38,30718,0,154,105,19,136,758,3,3386,445,293,134,1479,3441,72,51294,1317,4062,2320,4846,5121,1005,111146
Dem. Rep. Congo,2019,6147,36862,57160,1963,2891,10238,217,29543,10119,44646,672,34003,6355,5980,11354,1268,89906,8034,19997,14393,24531,4384,864,421527
Denmark,2019,31,18488,0,32,43,24,198,294,1,2473,817,372,81,668,1434,10,15330,1133,4572,955,2684,2703,600,52943
Djibouti,2019,110,750,97,27,109,903,3,161,134,593,12,318,206,75,207,20,1240,136,146,226,357,58,15,5903
Dominica,2019,1,182,0,4,8,5,0,12,1,30,4,2,2,4,57,1,242,43,22,11,25,19,6,681
Dominican Rep.,2019,217,10808,5,319,1993,1362,53,2668,231,2010,151,558,464,671,2965,49,27140,2280,1937,2945,3915,1629,446,64816
East Asia,2019,6793,2814345,2,58384,13140,32678,12301,262312,1738,205330,20258,5860,17431,128470,188282,27607,4727920,209292,1126946,164720,298102,334678,80336,10736925
Ecuador,2019,118,17627,1,578,1907,1207,67,4788,263,5436,349,484,734,1678,4951,71,21464,6914,3670,3905,6908,2638,738,86496
Egypt,2019,764,57934,0,972,512,56,82,29490,751,21371,150,8474,816,3105,20478,179,263873,21981,22560,62635,69216,6918,2439,594756
El Salvador,2019,52,5905,0,213,3047,680,11,1279,44,2304,874,308,293,531,2257,11,9695,4083,1514,1500,2432,1695,305,39033
England,2019,218,160593,0,244,260,191,1914,2232,31,34889,1337,1157,126,4436,5102,107,153285,6288,42289,7959,27005,27257,6694,483614
Eq. Guinea,2019,55,602,768,14,55,2118,5,282,56,363,7,121,31,77,223,10,960,139,157,126,234,65,16,6484
Eritrea,2019,693,3674,331,160,748,1378,16,1119,866,4429,62,4265,1051,580,1055,148,6660,660,1117,1572,2491,248,71,33394
Estonia,2019,6,3832,0,42,58,34,128,82,0,224,214,3,2,208,140,6,8201,349,303,277,584,757,127,15577
eSwatini,2019,73,979,9,52,235,3321,4,397,26,721,10,481,92,226,682,22,1519,269,319,190,347,55,17,10046
